State,District,City,State_Encoded
Punjab,Rupnagar,Anandpur Sahib,27
Andhra Pradesh,Anantapur,Anantapur,1
Tamil Nadu,Viluppuram,Ananthapuram,30
Jammu & Kashmir,Anantnag,Anantnag,14
Kerala,Kannur,Ancharakandy,17
Gujarat,Bharuch,Andada,11
Tamil Nadu,Coimbatore,Andipalayam,30
Tamil Nadu,Theni,Andipatti Jakkampatti,30
Manipur,Imphal East,Andro,21
West Bengal,Haora,Andul,34
Karnataka,Bangalore,Anekal,16
Kerala,Ernakulam,Angamaly,17
Jharkhand,Dhanbad,Angarpathar,15
Madhya Pradesh,Barwani,Anjad,19
Maharashtra,Amravati,Anjangaon,20
Gujarat,Kachchh,Anjar,11
Tamil Nadu,Kanniyakumari,Anjugramam,30
Gujarat,Anand,Anklav,11
Gujarat,Bharuch,Anklesvar,11
Gujarat,Bharuch,Anklesvar Ina,11
Karnataka,Uttara Kannada,Ankola,16
West Bengal,Barddhaman,Anksa,34
West Bengal,Haora,Ankurhati,34
Tamil Nadu,Cuddalore,Annamalai Nagar,30
Tamil Nadu,Pudukkottai,Annavasal,30
Karnataka,Dharwad,Annigeri,16
Tamil Nadu,Coimbatore,Annur,30
Uttar Pradesh,Sonbhadra,Anpara,32
Rajasthan,Baran,Antah,28
Madhya Pradesh,Gwalior,Antari,19
Tamil Nadu,Erode,Anthiyur,30
Uttar Pradesh,Pratapgarh,Antu,32
Orissa,Anugul,Anugul,25
West Bengal,Murshidabad,Anup Nagar,34
Rajasthan,Ganganagar,Anupgarh,28
Madhya Pradesh,Shahdol,Anuppur,19
Uttar Pradesh,Bulandshahr,Anupshahr,32
Uttar Pradesh,Bareilly,Aonla,32
Tamil Nadu,Erode,Appakudal,30
Goa,South Goa,Aquem,10
Jharkhand,Hazaribag,Ara,15
Tamil Nadu,Erode,Arachalur,30
Tamil Nadu,Viluppuram,Arakandanallur,30
Tamil Nadu,Vellore,Arakonam,30
Tamil Nadu,Kanniyakumari,Aralvaimozhi,30
West Bengal,Hugli,Arambag,34
Chhattisgarh,Raipur,Arang,6
Tamil Nadu,Thiruvallur,Arani,30
Tamil Nadu,Tiruvanamalai,Arani,30
Tamil Nadu,Pudukkottai,Aranthangi,30
Bihar,Araria,Araria,4
